corner temp gain_db noise_uvrms bw_hz pass
tt -40 35.55328 1.16945 3564067.0 True
tt 27 35.55299 1.330993 2714193.0 True
tt 125 35.55299 1.461513 2137355.0 True
ss -40 35.55329 1.196649 3479331.0 True
ss 27 35.55306 1.351855 2689996.0 True
ss 125 35.55326 1.452229 2171251.0 True
ff -40 35.55318 1.1457789999999999 3631134.0 True
ff 27 35.55286 1.309809 2730362.0 True
ff 125 35.55265 1.4691789999999998 2100574.0 True
sf -40 35.55331 1.20184 3490582.0 True
sf 27 35.55321 1.346187 2723833.0 True
sf 125 35.55353 1.428429 2227733.0 True
fs -40 35.55299 1.1463299999999998 3590263.0 True
fs 27 35.55261 1.312249 2693609.0 True
fs 125 35.55235 1.4768519999999998 2064693.0 True
